benchmark,brand
613,Radeon HD 7570M
610,7900 MOD - Radeon HD 6520G
610,Radeon HD 8610G + 8500M Dual
610,Radeon R5 M315
607,Radeon HD 7640G + HD 8500M Dual
606,GeForce 8800 GTS
605,Intel HD P4600
603,Radeon R5 M435
603,Radeon HD 8550G + 8500M Dual
601,Radeon HD 8650G + HD 8600M Dual
601,Quadro FX 4600
601,Intel HD 5000
600,GeForce GT 525M
600,Radeon HD 8610G + 8670M Dual
599,Radeon HD 7520G + HD 7600M Dual
599,Radeon HD 7640G + 7470M Dual
596,Radeon HD 8510G + 8500M Dual
595,Radeon R5 M330
594,Radeon HD 8550G + HD 8600M Dual
593,Intel HD 5500
591,Radeon HD 7520G + 7600M Dual
589,Radeon HD 7640G + HD 7700M Dual
589,GeForce GTX 260M
589,Radeon HD 8610G + 8600M Dual
588,Radeon HD 7520G + 7610M Dual
588,Radeon HD 7660G + 7400M Dual
588,"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G"
588,Radeon HD 7660G + 8670M Dual
587,Radeon HD 7640G + HD 8600/8700M Dual
586,Radeon HD 7640G + 8500M Dual
585,Radeon HD 8650G + HD 8670M Dual
584,"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G"
584,Radeon HD 8610G + HD 8600M Dual
580,Quadro FX 1800
579,Radeon HD 8550G + 8670M Dual
578,Radeon HD 8610G + HD 8670M Dual
577,Radeon HD 7620G + 8670M Dual
577,Intel Skylake HD DT GT2
575,Radeon HD 8450G + HD 8670M Dual
574,GeForce GT 620M
571,Radeon R5 330
571,GeForce 710M
571,Radeon R6 + R7 M265DX Dual
569,Intel HD 4400
567,GeForce GTS 250M
565,Radeon HD 6610M
565,Radeon R5 M230
564,Mobility Radeon HD 3870 X2
563,Radeon HD 7560D + R5 235 Dual
563,GeForce GT 720M
561,GeForce 800M
558,Radeon HD 7640G + 8670M Dual
558,Radeon HD 7640G + 8570M Dual
557,Radeon HD 6620G
557,Radeon R5 M240
556,GeForce GTS 350M
556,GeForce GT 330
555,Radeon HD 7600G + HD 7500M/7600M Dual
554,GF117
554,Mobility Radeon HD 5650
553,GeForce GT 710M
552,GeForce GT 320
551,Radeon HD 8500M
550,FireGL V8650
550,Radeon HD 8610G
549,GeForce 615
548,Radeon HD 7520G + HD 7670M Dual
548,Radeon R5 M335
548,Radeon HD 8650D
548,Radeon HD 5550
548,Mobility Radeon HD 3870
547,GeForce 9800M GS
547,FirePro 3D V5700
547,Radeon HD 7640G + R5 M200 Dual
546,Radeon R5 M420
546,Radeon HD 8550G + HD 8670M Dual
546,GeForce 8800 GS
545,Radeon HD 8450G + 8600M Dual
545,Radeon HD 4670
545,Radeon HD 7520G + HD 7400M Dual
544,Radeon HD 7600G + HD 8670M Dual
544,GeForce GT 420M
542,GeForce 8800M GTX
540,FirePro 3D V7750
534,Radeon HD 7560D + HD 7000 Dual
534,Radeon HD 8570M
533,Radeon HD 8550G + 8570M Dual
532,GeForce 710A
532,RADEON HD6530D
531,GeForce GT625M
531,FirePro V3800
529,Quadro FX 2700M
529,Radeon HD 8550G + HD 8570M Dual
529,Radeon HD 3850
527,Radeon HD 7640G + 6400M Dual
523,Radeon HD 7520G + 7670M Dual
522,Radeon HD 8470D
520,Radeon HD 8670M
519,Radeon R8 M365DX
517,GeForce 9800M GTX
517,IncrediblE HD 4000
516,GeForce 9600 GSO
516,Intel HD P4000
515,Radeon HD 6530D
512,Mobility Radeon HD 4830
511,Radeon HD 7540D
510,Radeon HD 7640G + 7610M Dual
509,Radeon HD 7600G + HD 7550M Dual
509,Radeon HD 7620G + 8600M Dual
507,Radeon HD 7620G + HD 8670M Dual
505,Radeon HD 8510G
503,GeForce 9600 GSO 512
502,GeForce GT 335M
502,Radeon R6 A8-8600P
500,GeForce GT 625M
499,Radeon HD8530M
498,TRINITY SCRAPPER MOBILE
498,SUMO 964A
497,Radeon HD 7500G + 7550M Dual
496,ASUS EAH4870x2
496,GeForce 910M
494,Radeon R5 M320
487,Radeon HD 7520G + 7400M Dual
486,Radeon HD 6520G
486,Radeon HD 7620G
484,Radeon HD 8450G + HD 8750M Dual
484,GeForce 810M
479,Radeon HD 7600G
479,Mobility Radeon HD 5000 Serisi
479,GeForce 9700M GTS
478,Quadro FX 1800M
475,GeForce 9800M GT
475,Radeon HD 8450G + 8670M Dual
474,GeForce 8800M GTS
473,GeForce GT 420
472,FirePro 3D V3800
471,GeForce GT 230
470,Radeon HD 7600G + 8500M/8700M Dual
468,Quadro FX 3600M
465,Radeon HD 7660D + 7470 Dual
465,Radeon HD 7550M
465,FirePro V5700
463,Mobility Radeon HD 4670
456,Intel HD 4000
456,GeForce GT 130
456,GeForce 705M
454,Radeon HD 3850 AGP
453,Radeon HD 7520G + 7650M Dual
452,Radeon HD 8450G + HD 8600M Dual
452,Radeon HD 7520G
446,Radeon HD 7660G + 8600M Dual
445,GeForce 9600 GS
443,Radeon HD 8350G
443,Radeon HD 7620G + HD 8600M Dual
442,Radeon HD 7600G + HD Dual
439,Intel HD Family
439,Radeon R5 Opteron X3216
439,GeForce GT 625
435,Radeon HD 8410G
435,Radeon HD 8370D
430,GeForce GT 620
429,Radeon HD 7480D
429,Radeon HD 7420G
428,GeForce 800A
423,Radeon HD 7600G + 7550M Dual
423,RADEON HD6410D
422,GeForce GT 705
420,Intel 4th Generation Haswell HD
413,Radeon HD 8450G
412,Radeon HD 7500G
410,Intel UHD 605
410,Mobile Intel HD
408,Radeon HD 7470M
406,Radeon HD 6480G
406,GeForce GT 520MX
406,Radeon HD 7600G + 7500M/7600M Dual
405,RADEON E4690
405,GeForce 610M
403,Quadro 410
401,Mobility Radeon HD 4650
401,Intel HD 5300
398,Radeon R4
390,Radeon HD 7600G + 7450M Dual
386,Radeon HD 6410D
384,GeForce GT 520M
380,Radeon HD 6490M
378,Radeon HD 8490
375,VirtualBox Adapter for Windows 8+
374,PHDGD Ivy 4
370,Radeon R5 235
370,Radeon R3
368,Radeon R5 235X
366,GeForce GT 520
366,Mobility Radeon HD 3850
365,NVS 4200M
365,Radeon HD8490
362,Intel UHD 600
362,Radeon HD 7470
362,GeForce GT 330M
356,NVS 5100M
356,Radeon HD 8400
356,Radeon HD 7500G + HD 7500M/7600M Dual
355,Quadro FX 880M
353,Mobility Radeon HD 565v
353,GeForce 410M
351,GeForce GT 240M
351,Radeon HD 7580D
351,GeForce GT 610
350,GeForce GT 220
348,NVS 315
347,Intel HD P3000
344,Radeon HD 8470
341,FirePro 3D V3750
341,FireGL V5600
339,Radeon HD 8400E
339,Radeon R5E
337,Radeon R5 310
335,Radeon HD 8330
334,Radeon HD 4650
332,GeForce GT 230M
330,Radeon HD 7450M
323,Radeon HD 7400G
322,Radeon HD 8330E
322,GeForce 605
320,RADEON HD6370D
319,Radeon HD 8280
318,GeForce GT 415M
318,Mobility Radeon HD 560v
318,Radeon HD 8280E
318,GeForce 9700M GT
316,Radeon R1E
314,Intel HD 3000
313,Radeon HD 6470M
311,Radeon HD 7520G + 8600/8700M Dual
311,GeForce 510
309,Radeon HD 7450
307,Radeon HD 6370D
306,Quadro FX 3500M
306,GeForce 7900 GTX
302,Radeon R2
301,Quadro FX 1700M
300,Radeon HD 6380G
298,GRID K120Q
298,GeForce GT 130M
298,Quadro FX 770M
295,NVS 310
293,GeForce 9600M GT / GeForce GT 220M
293,GeForce GT 325M
292,Radeon HD 2900 GT
288,Radeon HD 7450A
287,GeForce GT 120
285,GeForce 8600 GTS
284,Mobility Radeon HD 5165
283,Radeon HD 2600 XT
279,Radeon HD 7350
278,Radeon HD 8240
277,GeForce 9500 GS
277,Radeon HD 6450
276,Radeon HD 6370M
272,GeForce 9500 GT
272,GeForce 320M
270,GeForce 9650M GS
270,Radeon HD 8280G
269,Quadro FX 580
268,Radeon HD 5470
268,GeForce GT 120M
266,Mobility Radeon HD 550v
265,Radeon HD 8350
265,EAH6450
264,GeForce 7950 GT
264,GeForce Go 7950 GTX
262,Wine Display Adapter
260,Radeon HD 6450A
260,GeForce 9600M GT
258,GeForce 7900 GT
258,GeForce GT 220M
257,Radeon HD 8250
257,Radeon R3E
256,Radeon HD 6300M
255,GeForce 9650M GT
251,Radeon HD 8210
249,GeForce 315
247,GeForce 7900 GT/GTO
247,Radeon R5 230
242,Radeon R2E
241,GeForce 8600 GT
241,Radeon HD 3670
241,Quadro FX 5500
237,Quadro 400
236,Mobility Radeon HD 5470
236,Radeon HD 4550
235,KB 2C
233,Radeon R5 220
232,Mobility Radeon HD 3670
232,Radeon HD 5450
231,GeForce 9600M GS
227,FirePro 2270
224,GeForce 7800 GTX
222,Radeon HD 7340M
221,HD6450
220,A6 Micro-6500T Quad-Core APU with RadeonR4
219,Mobility FireGL V5725
218,GeForce 7900 GS
217,Quadro FX 2500M
216,Radeon HD 6320 Graphic
216,FirePro 2460
215,Mobility Radeon. HD 5470
214,Mobility Radeon HD 5450
214,Quadro FX 1600M
212,GeForce 405
212,Radeon HD 6230
212,RADEON HD 6350
211,Radeon HD 2600 PRO
210,Mobility Radeon HD 3650
210,GeForce 310M
210,GeForce Go 7800 GTX
209,GeForce 315M
208,Quadro FX 3500
208,Radeon HD 7340
208,Radeon HD 4650 AGP
207,GeForce 8700M GT
207,Quadro FX 4500
206,Quadro NVS 320M
205,GeForce GT 320M
205,Intel 2nd Generation SandyBridge HD 3000
203,NVS 3100M
203,GeForce 310
202,Radeon HD 6320
201,Quadro FX 380M
200,Mobility Radeon HD 545v
199,GeForce G210M
198,Radeon HD 6320M
197,GeForce 7950 GX2
196,Mobility Radeon HD 4570
196,Radeon HD 7340G
196,GeForce 7800 GT
195,Radeon HD 8180
194,Intel Infoshock HD
193,Quadro FX 1700
193,Radeon HD 6430M
192,Mobility Radeon HD 2600 XT
191,Mobility Radeon HD 4550
191,GeForce 505
191,GeForce 305M
190,Quadro FX 380 LP
188,Mobility Radeon HD 540v
187,GeForce 9400 GT
186,Quadro FX 570M
185,NVS 2100M
183,NVS 300
182,GeForce 7600 GT
181,Mobility Radeon HD 5430
181,Radeon HD 7310G
180,FireGL V3600
180,GeForce 9500M GS
179,GeForce G105M
179,FirePro 3D V3700
177,GeForce 7800 GS
176,GeForce Go 7900 GS
175,Mobility Radeon HD 530v
172,GeForce 210
171,Radeon HD 7310
171,Quadro FX 1500M
170,Radeon HD 6310
170,GeForce G210
169,GeForce 8600M GT
168,Mobility Radeon HD 2600
167,Radeon HD 4350
167,GeForce 9500M G
166,Radeon HD 7310M
165,Intel HD manual-gen9_2015-133271
165,GeForce Go 7600 GT
159,Radeon HD 4330
156,Quadro FX 1500
156,Radeon HD 4300/4500 Serisi
151,Radeon X1950 CrossFire Edition
150,Radeon HD 3650 AGP
149,Quadro FX 3450
149,Quadro FX 380
148,Mobility Radeon HD 4350
148,GeForce Go 7700
146,Radeon X1900 GT
143,Radeon HD 3470
142,GeForce 6800 GT
142,GeForce 8600 GS
141,Radeon HD 4290
141,Radeon X1800 GTO
140,Radeon HD 6290M
140,nForce 760i SLI
140,Radeon HD 7290
140,GeForce 9400
139,Intel Haswell HD - GT2
139,GeForce 6800 Ultra
138,Radeon HD 6290
138,GeForce Go 6800 Ultra
137,Radeon X1900 CrossFire Edition
137,GeForce 6800 GS
137,GeForce 8500 GT
135,Mobility Radeon HD 4330
135,Mobility Radeon X1900
135,GeForce 7600 GS
134,Quadro FX 3450/4000 SDI
134,GeForce 7650 GS
132,GeForce G200
130,MOBILITY RADEON X1800
130,GeForce 9300 / nForce 730i
128,FireGL V7300
128,GeForce Go 7600
127,All-in-Wonder X1900
127,GeForce 9300
127,Radeon HD 3300
126,GeForce 205
124,GeForce 9400M G
123,GeForce 8600M GS
123,Radeon HD 7290M
123,Radeon HD 4250
121,Radeon HD 2400
120,Radeon HD 6250
119,Radeon HD 2400 XT
119,Intel Haswell HD - GT1
119,RV530 PRO
118,GeForce 9400M
118,Radeon HD 3450
117,FireMV 2260
117,Mobile Intel 45 Express-Chipsatzfamilie
117,PHDGD Quantic C3
117,Radeon X1700 Targa Edition
116,Intel Media Accelerator HD
116,Radeon X1600 XT
116,Quadro FX 570
115,FireGL V5200
114,Radeon HD 2400 Pro
114,FireGL V7200
114,Quadro FX 560
113,FirePro 2260
113,Radeon X1950 Pro
113,GeForce 8400 GS
113,Sapphire RADEON X800 GT
113,GeForce 6800
113,GeForce G 105M
112,Intel HD Modded
112,Radeon HD 4200
112,GeForce Go 7800
111,Radeon HD 4270
111,FireGL V7350
111,GeForce 999 GTX
110,Radeon HD 2600 Pro AGP
110,XFX Radeon HD 4650 AGP
110,GeForce 6800 LE
110,VIA/S3G Chrome 645/640 GPU
108,GeForce 7300 GT
108,Quadro FX 370 LP
107,Radeon Infoshock 3000
106,Radeon X1950 GT
106,GeForce Go 6800
106,GeForce9400M
105,GeForce G 103M
105,Mobility Radeon X1700
104,Quadro FX 3400/4400
104,M880G with Mobility Radeon HD 4250
104,GeForce 9500M
104,Quadro FX 1400
103,FireGL V3400
103,GeForce 6800 GS/XT
102,Mobility Radeon HD 2400 XT
102,Quadro FX Go1400
102,GeForce 6600 GT
101,GeForce 6800 XT
101,GeForce 9300 GE
101,GeForce 8400
100,GeForce G100
99,Radeon X1600 Pro
99,Quadro NVS 420
98,Mobility Radeon HD 3430
98,Mobility Radeon HD 4250
98,Radeon 3000
98,GeForce 8400M GT
98,GeForce 6700 XL
98,ION
98,ION LE
98,GeForce 9300GE
98,RADEON X800 XT
97,Quadro NVS 295
97,Mobility Radeon HD serie 4200
95,MEDION RADEON X740XL
94,GeForce 9300M GS
94,GeForce G102M
94,Mobility Radeon HD 3470 Hybrid X2
93,Mobility Radeon HD 3470
93,Quadro FX 370M
93,Mobility Radeon HD 4270
93,M880G with Mobility Radeon HD 4200
93,FireGL V5100
93,Quadro NVS 150M
92,Mobility Radeon X1600
92,nForce 780a SLI
92,Quadro NVS 160M
92,RADEON X600XT
92,GeForce 9300 GS
92,GeForce G205M
92,Quadro NVS 450
92,GeForce 8300
91,Mobility Radeon HD 3450
91,Quadro NVS 290
91,Mobility Radeon HD 4200
90,Quadro NVS 140M
90,Mobility Radeon HD 2400
89,GeForce 6610 XL
87,Quadro FX 360M
86,Quadro FX 350
85,GeForce 9300M G
85,Radeon X1300 PRO
85,FireGL V3200
85,Radeon X1650 Pro
85,GeForce 9200M GS
84,ALL-IN-WONDER X800 GT
84,RADEON X800 GT
84,Quadro FX 370
84,nForce 750a SLI
82,Radeon HD 3200
82,GeForce 9100
82,RADEON X850 XT Platinum Edition
82,GeForce 8400M GS
82,Mobility Radeon X2500
82,MOBILITY FireGL V5000
82,nForce 980a/780a SLI
82,GeForce 8100 / nForce 720a
81,GeForce 9200M GE
81,Mobility Radeon 4100
81,RADEON X850 XT
81,Quadro FX 540
81,GeForce 9200
80,GeForce 8200
80,RADEON X800GT
77,RADEON X800 GTO
77,Radeon HD 2350
76,RADEON X700 PRO
76,M860G with Mobility Radeon 4100
75,GeForce 9100M G
75,Radeon X1650 GTO
74,GeForce 7350 LE
73,Radeon 3100
73,RADEON X800 PRO/GTO
73,RADEON X850 PRO
73,RADEON X700
72,Intel G41 Express Chipset v2
72,M880G with Mobility Radeon HD 4225
71,RADEON X700 SE
71,Radeon X1650 SE
71,Radeon X550XTX
71,FireGL V3300
70,Intel G45/G43 Express Chipset
69,GeForce Go 6600
69,RADEON X800 XL
69,Radeon X1600 Pro / X1300XT
69,GeForce 7500 LE
69,Quadro FX 3000
69,FireGL V3350
68,GeForce 8400 SE
68,Matrox G200eR WDDM 2.0
68,Matrox G200eR WDDM 1.2
67,256MB RADEON X600
67,MOBILITY RADEON X700
67,PHDGD Quebec 4.0 for Intel Q45/Q43 Express Chipset
67,GeForce 8300 GS
67,GeForce 7300 GS
67,Radeon X1550
67,Intel Q45/Q43 Express Chipset
66,Mobility Radeon HD 4225
66,128MB DDR Radeon 9800 Pro
65,RADEON X800 PRO
64,Quadro FX 550
64,Intel B43 Express Chipset
63,Intel G41 Express Chipset
63,Mobility Radeon HD 3410
63,GeForce 6600
63,GeForce Go 7400
62,Quadro FX 350M
62,MOBILITY FireGL V3200
61,SAPPHIRE Radeon X1550
60,Radeon 2100
60,Quadro NVS 130M
59,RADEON 9800 PRO
59,Matrox G200e WDDM 1.2
59,GeForce FX 5950 Ultra
59,FireGL X1
59,Intel G41 Express-Chipsatz
59,GeForce 8400M G
58,Radeon X1300
58,Intel Q45/Q43 Express-Chipsatz
58,Intel - Express Chipset Q45/Q43
57,Quadro NVS 135M
57,Chipset Intel G41 Express
57,Intel - Express Chipset G41
57,RADEON X600 256MB HyperMemory
57,GeForce 8200M G
56,RADEON X550XT
55,GeForce 7300 LE
54,RADEON 9700 PRO
54,RADEON 9800 XT
53,FireGL V3100
52,Matrox G200eh WDDM 1.2
51,GeForce FX Go5700
51,GeForce 6600 LE
51,FirePro 2450
51,RADEON X550
51,GeForce Go 7300
51,Mobility Radeon HD 2300
50,MOBILITY RADEON X600
50,Matrox G200eW WDDM 1.2
49,Radeon X1600
49,MOBILITY RADEON X600 SE
49,Radeon X1050
49,128MB RADEON X600 SE
49,Mobility Radeon X2300 HD
48,Mobility Radeon X2300
48,Quadro NVS 110M
48,Mobile Intel - famiglia Express Chipset serie 4
48,Radeon X1550 64-bit
47,SAPPHIRE RADEON 9600 ATLANTIS
47,Quadro NVS 120M
46,MOBILITY RADEON 9800
46,FireMV 2250
45,GeForce Go 7200
45,MOBILITY FireGL V5200
45,GeForce Go 6600 TE/6200 TE
45,Mobile Intel serie 4 Express
45,Mobile Intel 4 Express-Chipsatzfamilie
44,GeForce 6200
44,128 DDR Radeon 9700 TX w/TV-Out
44,GeForce 7100 GS
44,Mobile Intel 45 Express
43,Mobility Radeon X1400
43,RADEON 9600 PRO
43,Radeon Xpress 1250
42,Matrox G200eW
42,GeForce 7300 SE/7200 GS
42,RADEON 9500 PRO / 9700
41,GeForce FX 5900 Ultra
41,GeForce FX 5700
41,MOBILITY FIREGL T2
41,Matrox G200eh
40,GeForce FX 5900XT
40,Mobility Radeon X1350
40,S3 Chrome 430 ULP
39,Mobility Radeon X1300
39,MOBILITY RADEON 9600/9700
39,GIGABYTE RADEON 9600 PRO
39,GeForce 7300 SE
39,GeForce 6200 TurboCache
38,Quadro NVS 285 128MB
38,RADEON X300SE
38,Mobile Intel - famiglia Express Chipset 45
38,Quadro NVS 440
38,GeForce 6500
37,Radeon X1250
37,Matrox G200eR
36,RADEON 9500
36,FireMV 2200 PCIe
36,Quadro FX 1100
36,Radeon Xpress 1200
35,Quadro NVS 285
35,RADEON 9600 XT
35,GeForce PCX 5750
35,GeForce FX 5900
35,RADEON 9550
34,Quadro FX 1300
34,Quadro FX 1000
34,GeForce FX 5700 Ultra
34,Radeon Xpress 1100
34,MOBILITY RADEON X300
34,MOBILITY FIREGL T2/T2e
33,Mobility Radeon X1450
33,GeForce FX 5700VE
33,GeForce 7150 / nForce 630i
33,Intel Media Accelerator
33,Radeon X1200
32,Matrox M9138 LP PCIe x16
32,GeForce 6200 A-LE
32,Red Hat QXL controller
31,GeForce 7100 / nForce 630i
31,GeForce 7050 / nForce 620i
31,Radeon X1270
31,OpenXT Display Driver
31,FireGL T2-128
30,Intel G35 Express
30,Radeon Xpress 1150
30,RADEON XPRESS 200
29,GeForce 6200SE TurboCache
29,Radeon 9550 / X1050
28,GeForce 7050 / nForce 610i
27,MOBILITY RADEON 9700
27,MOBILITY FireGL V5250
27,RADEON 9600SE
27,GeForce 7050 / nForce 630i
27,MOBILITY RADEON XPRESS 200
27,GeForce 6200 LE
27,Radeon Xpress 1270
27,RADEON 9600 PRO Family
26,PHDGD Sapphire GR for Mobile Intel 965
25,GeForce 6100 nForce 420
25,GeForce 6100 nForce 400
25,GeForce 7025 / nForce 630a
25,RADEON 9600 Family
25,GeForce FX 5700LE
25,MOBILITY RADEON 9600 PRO TURBO
25,GeForce 6150SE
24,GeForce Go 6400
24,Mobile Intel 965 Express-Chipsatzfamilie
24,Quadro NVS 210S
24,RADEON 9800 SE
23,GeForce 6100 nForce 430
23,GeForce 6150SE nForce 430
23,Chell 1.8a for Mobile Intel 965
23,RADEON XPRESS 200M
22,GeForce 7050 PV / nForce 630a
22,GeForce 6100 nForce 405
22,GeForce 6150
22,Matrox M9140 LP PCIe x16
21,GeForce 6100
21,GeForce 6150 LE
21,Quadro NVS 210S / GeForce 6150LE
21,Mobile Intel 965 Express
20,PHDGD Solo 2 x64
18,S3 Chrome S25 DDR2
18,RADEON 9600 TX Family
18,Intel G965 Express
18,GeForce 7150M / nForce 630M
18,GeForce Go 6100
18,GeForce Go 6150
18,GeForce FX Go 5600
17,GeForce FX 5600 Ultra
17,GeForce FX Go5650
16,Chell 1.7b for Intel G33/G31
15,GeForce Go 6200
14,Quadro FX 500/600 PCI
14,Chell 1.7b Solo Edition
14,Radeon HD 2400 PCI
14,Chell 1.8b for Mobile Intel 965
13,GeForce 7000M
13,GeForce 7000M / nForce 610M
13,GeForce FX Go5300
12,GeForce FX 5200 Ultra
12,GeForce FX 5600
12,Intel G33/G31 Express
12,GeForce FX 5200SE
11,FireMV 2400 PCIe
11,RGH Drivers v3
11,PHDGD Solo 1.2.0 x86
11,Intel Q33 Express
11,VIA Chrome9 HD IGP
10,Intel Q35 Express
10,Matrox Millennium P690 PCIe x16
10,Matrox M9148 LP PCIe x16
9,Chell 1.7b for Intel 945G
9,GeForce FX 5600XT
8,GeForce FX Go 5200
8,GeForce FX 5500
8,MOBILITY RADEON 9000 IGP
8,Quadro FX 500/FX 600
8,GeForce FX 5200
7,Famille de jeu de puces Express Intel 946GZ
7,Intel US15 Embedded Media and Controller
7,GeForce4 Ti 4800 SE
7,GeForce4 Ti 4400
7,GeForce FX 5200LE
7,Intel Media Accelerator 600
7,Chell 1.7b for Mobile Intel 945
7,Matrox Millennium P690 Plus LP PCIe x16
7,Quadro4 380 XGL
7,GeForce4 MX Integrated GPU
7,Chell 1.8b for Intel G33/G31
6,Intel Q965/Q963 Express
6,Intel 946GZ Express
6,MOBILITY RADEON 7000 IGP
6,GeForce PCX 5300
6,RADEON 9100 Family
6,Quadro NVS 55/280 PCI
6,RADEON IGP 350M
6,GeForce4 440 Go 64M
6,VIA/S3G UniChromeII
6,GeForce4 460 Go --MobileForce M4 Stock--
6,Intel 82945G Express
6,Mobile Intel 945GM Express
6,Quadro 280 NVS PCIe
6,Intel 82915G Express
6,MOBILITY RADEON 9000/9100 IGP
6,Matrox Parhelia APVe
6,ALL-IN-WONDER RADEON 8500DV
6,GeForce4 448 Go
6,GeForce4 Ti 4600
5,RADEON 9100 IGP
5,GeForce4 Ti 4200
5,Matrox Millennium P650 PCIe 128
5,Mobile Intel 945GM/GU Express
5,GeForce4 420 Go 32M
5,Xabre
5,GeForce 256
5,SiS 760
5,Quadro4 980 XGL
5,ALL-IN-WONDER 9000
5,GeForce3
5,GeForce4 MX 420
5,GeForce4 MX 440 with AGP8X
5,VIA/S3G UniChrome Pro IGP
5,RADEON 7500 Family
5,Intel 82865G Controller
5,GeForce2 Ti
5,Chell 1.7b for Intel GMA 3150
5,Chell 1.8b for Intel Q965/Q963
5,GeForce4 MX 440SE
5,GeForce4 MX 440
5,Mobile Intel 945 Express
5,GeForce4 MX 4000
4,GeForce2 Integrated GPU
4,Mobile Intel 915GM/GMS/910GML Express
4,SiS 741
4,SiS 661FX_760_741_M661FX_M760_M741
4,VIA Chrome9 HC IGP
4,VIA/S3G UniChrome IGP
4,GeForce4 MX 460
4,SiS Mirage
4,MOBILITY/RADEON 9000
4,GeForce3 Ti 200
4,VIA/S3G KM400/KN400
4,SiS 661FX/GX Mirage
4,SiS M661MX
4,GeForce2 GTS/GeForce2 Pro
4,GeForce4 4200 Go
4,ABIT Siluro T400
4,VIA Chrome9 HC IGP Family
4,GeForce2 MX/MX 400
4,SiS M760GX
4,RADEON 7000 / RADEON VE Family
4,SiS 661FX
4,RIVA TNT2 Model 64/Model 64 Pro
4,Sherry 1.3.2 beta for 945 chipsets
4,GeForce4 440 Go
4,Intel 865 Embedded Controller
4,RADEON 9200
4,MOBILITY RADEON 7500
4,Radeon IGP 320M
4,RADEON 9000 Family
4,SiS 650_651_M650_M652_740
4,VIA Chrome9 HC IGP Family WDDM
3,Intel Media Accelerator 500
3,Chell 1.8b for Mobile Intel 945
3,RIVA TNT2/TNT2 Pro
3,GeForce4 420 Go
3,VIA/S3G DeltaChrome IGP
3,MOBILITY RADEON 9000
3,GeForce2 MX 100/200
3,Intel 946GZ Embedded Chipset Function 0
3,RADEON 7500
3,Rage Fury Pro/Xpert 2000 Pro
3,Intel 82915G/GV/910GL Express
3,Vanta/Vanta LT
3,MOBILITY RADEON 9200
3,Intel Media Accelerator 3150
3,MOBILITY RADEON 9100 IGP
3,Intel 82845G/GL/GE/PE/GV Controller
3,RADEON 9200 PRO Family
3,SiS 651
3,VIA Chrome9 HC IGP WDDM 1.1
3,VIA Chrome9 HC IGP WDDM
3,VIA Chrome9 HC IGP Prerelease WDDM 1.1
3,GeForce2 MX
3,RADEON IGP 345M
3,Intel 82845G/GL Controller
3,RADEON 9200 LE Family
3,RADEON 9250
3,RADEON 9200 SE
3,GeForce3 Ti 500
3,Radeon IGP 340M
2,Quadro NVS 280 SD
2,Intel 82845G Controller
2,SiS Mirage 3
2,Sherry 1.3 for GMA 3150
2,VIA Chrome9 HCM IGP
2,Chell 1.8b for Intel 945G
1,S3 ProSavageDDR
1,SiS 630/730
1,RAGE 128 PRO AGP 4X TMDS
1,Quadro2 Pro
